Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
85,Willie Cauley-Stein,C,25,SAC,29,29,28.6,6.1,11.4,0.538,0,0,1,6.1,11.4,0.536,0.539,1.9,3.6,0.524,2.4,6.1,8.5,2.4,1.2,0.6,1.3,3.3,14.2
86,Tyson Chandler,C,36,TOT,27,1,18.7,1.2,2.1,0.571,0,0,,1.2,2.1,0.571,0.571,1.1,1.7,0.644,2,4.9,6.9,0.7,0.5,0.3,0.9,2.6,3.4
86,Tyson Chandler,C,36,PHO,7,0,12.7,1.1,1.7,0.667,0,0,,1.1,1.7,0.667,0.667,1.4,2.6,0.556,1,4.6,5.6,0.9,0.3,0.1,1,3,3.7
86,Tyson Chandler,C,36,LAL,20,1,20.8,1.2,2.2,0.545,0,0,,1.2,2.2,0.545,0.545,1,1.4,0.704,2.4,5,7.4,0.6,0.6,0.4,0.9,2.5,3.4
87,Wilson Chandler,PF,31,PHI,19,15,25.4,2.5,5.4,0.456,1.1,2.8,0.377,1.4,2.6,0.54,0.553,0.2,0.4,0.429,1.4,3.3,4.7,1.9,0.4,0.5,1.2,2.6,6.2
88,Marquese Chriss,PF,21,HOU,9,0,5.9,0.9,2.3,0.381,0.1,1,0.111,0.8,1.3,0.583,0.405,0.2,0.3,0.667,0.3,0.8,1.1,0.3,0.1,0.2,0.6,1,2.1
89,Gary Clark,PF,24,HOU,22,0,16.9,1.1,3.8,0.289,0.9,3.5,0.263,0.2,0.3,0.571,0.41,0.3,0.3,1,0.5,2.3,2.9,0.5,0.5,0.8,0.1,1.2,3.4
90,Ian Clark,SG,27,NOP,25,0,14.1,1.5,4.2,0.352,0.6,2,0.286,0.9,2.2,0.411,0.419,0.4,0.4,0.9,0.2,1.4,1.5,1.3,0.2,0.1,0.8,1.4,3.9
91,Jordan Clarkson,SG,26,CLE,30,0,25.6,6.6,14.8,0.446,1.5,4.9,0.313,5.1,9.9,0.512,0.498,2,2.3,0.868,1.1,2.4,3.5,2.2,0.6,0.1,1.6,1.7,16.7
92,John Collins,PF,21,ATL,14,12,29.1,7.8,13.1,0.592,0.5,2.2,0.226,7.3,10.9,0.667,0.611,2.4,3.6,0.68,3.1,6.2,9.3,2.4,0.1,0.6,2.6,2.9,18.5
93,Zach Collins,C,21,POR,29,0,19.1,2.9,5.5,0.519,0.6,1.8,0.333,2.3,3.8,0.606,0.572,1.3,1.6,0.867,1.4,2.8,4.2,0.9,0.4,0.9,1.2,2.8,7.7
94,Darren Collison,PG,31,IND,30,30,27.8,3.3,7.6,0.437,0.8,2.3,0.362,2.5,5.3,0.469,0.491,1.5,2,0.767,0.5,2.2,2.7,5.8,1.5,0.1,1.5,1.9,9
95,Mike Conley,PG,31,MEM,29,29,34.1,6.8,16.3,0.419,2.1,6.1,0.339,4.8,10.2,0.468,0.483,4.7,5.6,0.84,0.5,2.8,3.3,6.5,1.2,0.4,1.8,1.9,20.4
96,Pat Connaughton,SG,26,MIL,23,1,19.2,2.4,5.8,0.414,1,3.6,0.293,1.3,2.2,0.608,0.504,0.6,0.9,0.7,1,3,4,2,0.5,0.6,0.4,1.2,6.4
97,Quinn Cook,PG,25,GSW,27,8,17.6,3.4,7.3,0.474,1.4,3.1,0.44,2.1,4.1,0.5,0.569,0.5,0.6,0.867,0.3,2.2,2.5,1.9,0.4,0.1,0.9,1.6,8.7
98,Robert Covington,SF,28,TOT,27,27,33.9,4.2,9.9,0.425,2.3,6.1,0.376,1.9,3.7,0.505,0.541,1.8,2.3,0.787,0.6,4.9,5.5,1,2.1,1.4,1.4,3.4,12.4
98,Robert Covington,SF,28,PHI,13,13,33.8,3.8,9,0.427,2.3,5.9,0.39,1.5,3.1,0.5,0.556,1.3,1.8,0.739,0.5,4.6,5.2,1.1,1.8,1.8,1.7,3.5,11.3
98,Robert Covington,SF,28,MIN,14,14,33.9,4.5,10.6,0.423,2.3,6.3,0.364,2.2,4.4,0.508,0.53,2.2,2.7,0.816,0.7,5.1,5.8,1,2.4,1,1.1,3.3,13.5
99,Allen Crabbe,SG,26,BRK,28,15,26.1,3,8.9,0.343,2.3,6,0.387,0.7,2.9,0.25,0.474,1.1,1.4,0.789,0.5,3,3.5,1.1,0.6,0.3,1.1,2.4,9.5
100,Torrey Craig,SF,28,DEN,24,18,19.1,2,4.8,0.405,0.6,2.3,0.25,1.4,2.5,0.55,0.466,0.3,0.6,0.571,1.3,2.2,3.5,0.8,0.5,0.5,0.8,2.3,4.8
101,Jamal Crawford,SG,38,PHO,26,0,16.8,2.3,6.3,0.36,0.9,2.9,0.303,1.4,3.4,0.409,0.43,1.5,1.8,0.826,0.1,1,1.1,2.9,0.4,0.2,1.4,1.3,6.9
102,Jae Crowder,SF,28,UTA,30,5,27.5,4,9.8,0.406,2,6,0.326,2,3.7,0.536,0.507,2,2.7,0.744,0.7,3.9,4.6,1.7,0.7,0.5,0.9,2.1,11.9
103,Dante Cunningham,PF,31,SAS,29,20,21.8,1.7,3.6,0.471,0.9,1.7,0.51,0.8,1.9,0.436,0.591,0.3,0.3,0.9,1.2,3.3,4.6,1.2,0.7,0.4,0.5,1.9,4.6
104,Seth Curry,SG,28,POR,23,1,16.7,1.7,4.3,0.394,1,2.2,0.48,0.7,2.1,0.306,0.515,0.2,0.2,1,0.3,1,1.3,0.8,0.2,0.1,0.8,1.3,4.7
105,Stephen Curry,PG,30,GSW,19,19,33.6,9.8,19.5,0.503,5.2,10.7,0.48,4.6,8.7,0.53,0.635,4.5,4.8,0.945,0.5,4.7,5.2,5.7,1.2,0.3,3.1,2.3,29.3
106,Troy Daniels,SG,27,PHO,13,0,15.8,2.4,5.7,0.419,1.8,4.5,0.397,0.6,1.2,0.5,0.574,0.5,0.6,0.875,0.3,1.2,1.5,0.6,0.7,0.1,0.9,1.5,7.1
107,Anthony Davis,C,25,NOP,27,27,37,10.1,20,0.503,0.9,2.6,0.324,9.2,17.4,0.53,0.524,7,8.6,0.819,3.3,9,12.4,4.7,1.7,2.8,2.3,2.6,28
108,Ed Davis,C,29,BRK,31,1,17.8,2.4,4,0.592,0,0.1,0,2.4,4,0.602,0.592,1,1.6,0.608,3.3,5.1,8.4,0.8,0.4,0.4,0.7,2.9,5.8
109,Tyler Davis,C,21,OKC,1,0,1,0,1,0,0,0,,0,1,0,0,0,0,,1,0,1,0,0,0,0,0,0
110,Dewayne Dedmon,C,29,ATL,23,12,23.3,3.3,7.3,0.449,0.8,2.5,0.31,2.5,4.7,0.523,0.503,1.2,1.4,0.875,1.4,5.8,7.2,1,1.2,1.1,1.1,3.2,8.5
111,Sam Dekker,PF-SF,24,TOT,13,5,17.2,2.7,5.5,0.486,0.4,1.4,0.278,2.3,4.2,0.556,0.521,0.7,0.9,0.75,0.9,2.5,3.4,1.2,1.4,0.1,0.6,1.2,6.5
111,Sam Dekker,PF,24,CLE,9,5,18.8,2.4,5.3,0.458,0.6,1.4,0.385,1.9,3.9,0.486,0.51,0.9,1.1,0.8,1,2.7,3.7,1,1.2,0,0.6,1.4,6.3
111,Sam Dekker,SF,24,WAS,4,0,13.5,3.3,6,0.542,0,1.3,0,3.3,4.8,0.684,0.542,0.3,0.5,0.5,0.8,2,2.8,1.5,1.8,0.3,0.8,0.5,6.8
112,Matthew Dellavedova,PG,28,TOT,16,0,11.4,1.4,3.1,0.46,0.8,1.8,0.464,0.6,1.4,0.455,0.59,0.6,0.6,1,0,1.3,1.3,3,0.3,0,1,1.1,4.3
112,Matthew Dellavedova,PG,28,MIL,12,0,8.1,0.5,1.6,0.316,0.3,0.9,0.364,0.2,0.7,0.25,0.421,0.3,0.3,1,0,0.8,0.8,2.4,0.2,0,0.9,0.8,1.7
112,Matthew Dellavedova,PG,28,CLE,4,0,21.5,4.3,7.8,0.548,2.3,4.3,0.529,2,3.5,0.571,0.694,1.5,1.5,1,0,2.8,2.8,4.8,0.8,0,1.3,2,12.3
113,Luol Deng,SF,33,MIN,3,0,8.7,1.3,4,0.333,0,1.7,0,1.3,2.3,0.571,0.333,0.7,1,0.667,1.7,2,3.7,0.3,0.3,0.3,0.3,0.7,3.3
114,DeMar DeRozan,SG,29,SAS,30,30,35.3,8.9,18.9,0.473,0.2,1.2,0.162,8.7,17.6,0.495,0.479,5.6,6.5,0.852,0.8,4.8,5.5,6.1,0.9,0.5,2.5,2.2,23.6
115,Marcus Derrickson,SF,22,GSW,4,0,4.8,0.5,1.5,0.333,0.3,0.8,0.333,0.3,0.8,0.333,0.417,0,0,,0,0.5,0.5,0,0,0,0.5,1.3,1.3
116,Cheick Diallo,PF,22,NOP,24,0,10,1.5,2.7,0.563,0,0,0,1.5,2.6,0.571,0.563,0.7,0.8,0.8,1,2.8,3.7,0.3,0.5,0.5,0.7,1.4,3.7
117,Hamidou Diallo,SG,20,OKC,22,2,12.6,2.2,4.5,0.49,0.2,0.7,0.25,2,3.8,0.536,0.51,1,1.5,0.667,1,1.2,2.3,0.5,0.6,0.2,0.5,1.9,5.6
118,Gorgui Dieng,C,29,MIN,29,0,13.5,2,4.3,0.456,0.2,0.7,0.238,1.8,3.6,0.5,0.476,1.1,1.3,0.846,0.8,3.2,3.9,0.8,0.4,0.7,0.8,1.8,5.2
119,Spencer Dinwiddie,PG,25,BRK,31,3,28.6,5.7,12.1,0.475,1.9,5.3,0.364,3.8,6.8,0.562,0.555,3.7,4.7,0.789,0.5,2,2.5,5,0.6,0.3,2.1,3,17.2
120,Donte DiVincenzo,SG,22,MIL,20,0,17.2,2.1,5.2,0.404,0.9,3.4,0.254,1.3,1.9,0.676,0.486,0.5,0.6,0.818,0.7,2.1,2.8,1.3,0.6,0.2,0.8,1.7,5.5
121,Luka Doncic,PF,19,DAL,27,27,32.4,6.1,14.1,0.435,2.1,5.9,0.358,4,8.3,0.489,0.509,3.8,4.9,0.767,1,5.7,6.7,4.6,1.1,0.3,3.6,2.1,18.2
122,Tyler Dorsey,SG,22,ATL,16,0,10.8,1.4,4,0.359,0.3,1.5,0.208,1.1,2.5,0.45,0.398,0.8,1.3,0.571,0.4,1.6,1.9,0.9,0.3,0,0.5,0.8,3.9
123,Damyean Dotson,SG,24,NYK,23,9,26.4,4.4,9.6,0.464,1.5,4.1,0.372,2.9,5.5,0.532,0.543,0.7,1,0.696,0.8,3.3,4.1,1,0.9,0.2,0.8,1.8,11.1
124,PJ Dozier,PG,22,BOS,2,0,4,1.5,3,0.5,0.5,1,0.5,1,2,0.5,0.583,0,0,,1,1,2,0,0,0,0,0.5,3.5
125,Goran Dragic,PG,32,MIA,14,14,29.1,5.5,13.4,0.41,1.6,5,0.314,3.9,8.4,0.466,0.468,2.7,3.6,0.76,0.6,2.5,3.1,4.9,0.7,0.3,2.5,2.1,15.3
126,Andre Drummond,C,25,DET,27,27,33,7.6,15.1,0.506,0.1,0.7,0.15,7.5,14.3,0.525,0.51,2.9,5.6,0.52,5.8,9.7,15.6,1.2,1.4,2,2.4,3.5,18.3
127,Jared Dudley,PF,33,BRK,31,20,21.1,1.7,4.3,0.398,0.8,2.7,0.31,0.9,1.6,0.551,0.496,0.6,0.8,0.72,0.7,2,2.6,1.4,0.6,0.3,0.8,2.6,4.8
128,Kris Dunn,PG,24,CHI,4,2,28,5,10.5,0.476,0.5,2.3,0.222,4.5,8.3,0.545,0.5,1.3,1.3,1,0.3,4.3,4.5,4.5,0.8,0,2.8,4.8,11.8
129,Kevin Durant,PF,30,GSW,30,30,35.7,10.1,19.8,0.511,1.7,4.8,0.359,8.4,14.9,0.56,0.555,7.1,7.6,0.93,0.5,7.2,7.7,6.2,0.9,1,3.5,2,29
130,Vince Edwards,SF,22,HOU,1,0,4,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,0,1,0,0,0,0,0,3
131,Henry Ellenson,PF,22,DET,2,0,12.5,2,5,0.4,1,2,0.5,1,3,0.333,0.5,1,1,1,0,4.5,4.5,0.5,0,0,0,1,6
132,Wayne Ellington,SG,31,MIA,18,10,24.7,3,8.3,0.362,2.6,6.9,0.371,0.4,1.4,0.32,0.517,0.6,0.7,0.846,0.3,2,2.3,1.5,1.2,0.2,0.7,1.8,9.2
133,Joel Embiid,C,24,PHI,30,30,34.2,8.8,18.5,0.476,1.2,4,0.289,7.6,14.5,0.528,0.507,8.1,10.2,0.792,2.4,11,13.4,3.6,0.5,1.9,3.3,3.4,26.9
134,James Ennis,SF,28,HOU,23,22,25.2,2.9,6,0.489,1.3,3.5,0.363,1.7,2.5,0.667,0.595,1,1.3,0.71,1,1.8,2.7,0.6,0.9,0.4,0.6,3.3,8
135,Drew Eubanks,PF,21,SAS,4,0,3.3,0.8,1.3,0.6,0,0,,0.8,1.3,0.6,0.6,0.5,0.5,1,0.3,0,0.3,0,0,0,0.5,0,2
136,Jacob Evans,SG,21,GSW,18,0,4.6,0.2,1,0.222,0.1,0.2,0.25,0.2,0.8,0.214,0.25,0,0.1,0,0.1,0.3,0.4,0.6,0.1,0.1,0.2,0.6,0.5
137,Jawun Evans,PG,22,PHO,3,0,14.3,0.7,3.3,0.2,0,0.7,0,0.7,2.7,0.25,0.2,0,0,,0.3,3,3.3,2.3,0.7,0,1.3,2,1.3
138,Tyreke Evans,SG,29,IND,28,11,21.9,3.7,10,0.367,1.3,3.7,0.346,2.4,6.3,0.379,0.431,2,2.5,0.786,0.6,2.5,3,2.4,1.4,0.3,2.1,1.9,10.6
139,Dante Exum,PG,23,UTA,29,0,15.8,2.2,5.4,0.408,0.4,1.5,0.295,1.8,3.9,0.451,0.449,1.9,2.5,0.75,0.3,1.3,1.6,2.1,0.3,0.1,1.3,1.7,6.7
140,Kenneth Faried,PF,29,BRK,9,0,5.6,1.2,1.6,0.786,0,0,,1.2,1.6,0.786,0.786,0.3,0.8,0.429,0.8,1.1,1.9,0.1,0.1,0.1,0.4,0.3,2.8
141,Derrick Favors,C,27,UTA,29,25,23.1,4.5,7.4,0.606,0.3,0.9,0.296,4.2,6.5,0.651,0.625,1.9,3,0.64,2.9,4.2,7.1,0.9,0.8,1.3,1.2,2.3,11.2
142,Cristiano Felicio,C,26,CHI,20,0,12.2,1.4,2.4,0.563,0,0.1,0,1.4,2.4,0.574,0.563,0.7,1,0.737,1,2.6,3.5,0.5,0.2,0.1,0.7,1.1,3.4
143,Raymond Felton,PG,34,OKC,13,0,11,1.9,5.5,0.352,0.4,2.2,0.179,1.5,3.3,0.465,0.387,0.6,0.7,0.889,0.2,1.3,1.5,1.8,0.5,0.3,0.8,0.8,4.8
144,Terrance Ferguson,SG,20,OKC,22,22,21.5,1.5,4,0.391,0.8,2.5,0.304,0.8,1.4,0.548,0.489,0.3,0.5,0.6,0.5,1.4,1.9,0.8,0.5,0.2,0.7,2.7,4.1
145,Yogi Ferrell,SG,25,SAC,19,2,12.6,1.8,4.4,0.41,0.7,2,0.368,1.1,2.4,0.444,0.494,0.9,0.9,1,0.1,1.3,1.4,1.3,0.4,0.1,0.5,0.8,5.3
146,Dorian Finney-Smith,SF,25,DAL,28,11,26.4,3.1,6.6,0.473,1.3,3.4,0.389,1.8,3.3,0.56,0.573,1,1.6,0.644,1.8,2.8,4.5,0.8,1.1,0.6,0.9,2.9,8.6
147,Bryn Forbes,PG,25,SAS,30,30,26.9,4.4,9.9,0.448,2,4.9,0.415,2.4,5,0.48,0.551,0.9,1,0.839,0.2,2.1,2.3,2.2,0.6,0,1.2,2.4,11.8
148,Evan Fournier,SG,26,ORL,28,28,30.5,5.8,13.9,0.42,1.9,6.3,0.309,3.9,7.6,0.512,0.49,1.6,2.1,0.767,0.4,2.7,3.1,3.7,1,0.3,2,3,15.2
149,De'Aaron Fox,PG,21,SAC,29,29,32.4,6.6,13.6,0.482,1.2,3.1,0.396,5.3,10.4,0.508,0.528,4.1,5.7,0.732,0.5,3.1,3.6,7.5,1.6,0.6,3.2,2.5,18.5
150,Melvin Frazier,SG,22,ORL,3,0,5.3,0,1,0,0,0.3,0,0,0.7,0,0,0,0,,0,0.3,0.3,0,0.3,0,0.3,1,0
151,Tim Frazier,PG,28,NOP,22,12,19.9,1.7,3.8,0.446,0.7,1.8,0.385,1,2,0.5,0.536,0.5,0.7,0.733,0.7,2,2.6,4.7,0.6,0,1.4,2,4.5
152,Channing Frye,C,35,CLE,11,3,7.9,0.9,2,0.455,0.8,1.5,0.563,0.1,0.5,0.167,0.659,0.3,0.3,1,0.1,1.8,1.9,0.3,0.2,0.1,0.5,0.9,2.9
153,Markelle Fultz,SG,20,PHI,19,15,22.5,3.4,8.2,0.419,0.2,0.7,0.286,3.2,7.4,0.433,0.432,1.1,1.9,0.568,1.4,2.3,3.7,3.1,0.9,0.3,1.3,2.7,8.2
154,Danilo Gallinari,SF,30,LAC,28,28,31.5,5.6,12.8,0.443,2.4,5.3,0.456,3.3,7.5,0.433,0.536,5.3,5.8,0.914,1,5.1,6,2.2,0.7,0.3,1.3,2,19
155,Langston Galloway,SG,27,DET,26,1,25.4,3.3,8.1,0.403,1.8,5.3,0.343,1.5,2.8,0.514,0.514,1.1,1.5,0.763,0.7,2,2.7,1.3,0.5,0.1,0.5,2,9.5
156,Marc Gasol,C,34,MEM,29,29,34.7,5.8,13,0.447,1.7,4.3,0.387,4.2,8.8,0.476,0.511,3,4.1,0.739,1.1,7.6,8.7,4.1,1.4,1.4,2,2.8,16.3
157,Pau Gasol,C,38,SAS,9,0,17.4,2.4,4.8,0.512,0.4,0.8,0.571,2,4,0.5,0.558,1.4,2,0.722,1.2,4.9,6.1,3.3,0.1,1,0.8,1.8,6.8
158,Rudy Gay,SF,32,SAS,26,23,27.2,5.5,10.5,0.522,1.2,2.6,0.478,4.3,8,0.536,0.58,1.8,2.1,0.855,1.2,5.6,6.8,2.2,0.9,0.7,1.7,2.7,14
159,Paul George,SF,28,OKC,28,28,35.1,8.5,19.3,0.443,3.3,8.7,0.377,5.3,10.6,0.497,0.528,4.6,5.5,0.826,1.4,6.4,7.8,4.3,2.1,0.8,2.8,2.9,24.9
160,Taj Gibson,PF,33,MIN,28,28,25.6,4.2,8,0.522,0.4,0.9,0.417,3.8,7.1,0.535,0.545,1.7,2.5,0.686,2.8,4,6.9,1.4,1,0.5,1,2.5,10.4
161,Harry Giles,PF,20,SAC,20,0,9.5,2.2,4.7,0.468,0,0.1,0,2.2,4.6,0.478,0.468,0.5,1.1,0.476,1,1.9,2.8,1.2,0.6,0.2,1,2.2,4.9
162,Shai Gilgeous-Alexander,PG,20,LAC,29,20,27.2,3.9,8.2,0.479,0.5,1.4,0.366,3.4,6.8,0.503,0.511,2,2.6,0.797,0.9,2.3,3.2,2.9,1,0.7,1.9,1.8,10.4
163,Rudy Gobert,C,26,UTA,30,30,30.9,5.5,8.2,0.673,0,0,,5.5,8.2,0.673,0.673,3.3,5.6,0.599,3.6,8.7,12.3,1.9,0.9,1.9,1.4,2.8,14.3
164,Aaron Gordon,PF,23,ORL,27,27,32.6,6.1,13.3,0.458,1.7,4.5,0.38,4.4,8.9,0.498,0.522,1.8,2.6,0.686,1.8,5.4,7.2,3,0.9,0.8,1.9,2.4,15.7
165,Eric Gordon,SG,30,HOU,25,11,32.7,5.3,14.3,0.37,2.4,8.3,0.288,2.9,6,0.483,0.454,2.1,2.7,0.791,0.4,1.8,2.2,1.8,0.5,0.4,1.3,2,15.1
166,Marcin Gortat,C,34,LAC,23,23,17.9,2.1,4.1,0.516,0,0,,2.1,4.1,0.516,0.516,1.1,1.3,0.806,1.3,4.5,5.8,1.7,0.1,0.6,1.1,2.2,5.3
167,Devonte' Graham,PG,23,CHO,12,0,8.9,1.1,2.8,0.394,0.3,1.5,0.222,0.8,1.3,0.6,0.455,0.1,0.1,1,0,0.8,0.8,1.6,0.3,0,0.5,0.6,2.6
168,Treveon Graham,SG,25,BRK,2,0,13.5,0,1.5,0,0,1,0,0,0.5,0,0,0,0,,0.5,1.5,2,0.5,0.5,0,1,2.5,0
169,Jerami Grant,PF,24,OKC,28,25,30.3,4.4,8.6,0.508,1.2,3.2,0.371,3.2,5.4,0.589,0.577,1.9,2.8,0.671,0.9,3.8,4.7,1.1,0.8,1.3,1,2.5,11.8
170,Jerian Grant,PG,26,ORL,29,0,19.4,1.6,4.1,0.381,0.7,2,0.345,0.9,2.1,0.417,0.466,0.3,0.6,0.556,0.4,1.6,2,3.3,1.1,0.1,1.2,1.8,4.1
171,Danny Green,SG,31,TOR,32,32,29.9,3.6,8,0.451,2.3,5.5,0.423,1.3,2.5,0.513,0.596,0.3,0.3,0.909,1,3.3,4.2,1.3,0.9,0.8,1,2.4,9.8
172,Draymond Green,PF,28,GSW,16,16,30.1,2.6,6.1,0.423,0.4,2.1,0.206,2.1,3.9,0.54,0.459,0.8,1.1,0.667,0.8,7.1,7.9,7.3,1.7,0.9,3.4,3.1,6.3
173,Gerald Green,SG,33,HOU,24,0,17.3,2.7,6.4,0.422,1.7,4.9,0.35,1,1.5,0.649,0.555,0.4,0.5,0.833,0.6,1.9,2.5,0.5,0.3,0.2,0.6,1.8,7.5
174,JaMychal Green,PF,28,MEM,17,2,23.4,4.4,8.6,0.51,0.9,2.2,0.395,3.5,6.4,0.55,0.561,1.5,1.9,0.788,2.2,4.6,6.8,0.7,1,0.6,1.7,2.9,11.2
175,Jeff Green,PF,32,WAS,28,5,25.1,3.9,7.7,0.509,1.2,3.1,0.391,2.7,4.6,0.589,0.588,1.8,2,0.893,1.3,3.5,4.8,1.2,0.6,0.5,1.2,2,10.9
176,Blake Griffin,PF,29,DET,26,26,35.7,8.7,18.3,0.472,2.3,6.2,0.369,6.4,12.2,0.524,0.534,6.1,8.3,0.735,1.4,7.7,9.1,5,0.7,0.5,3.7,2.8,25.7
177,Daniel Hamilton,SG,23,ATL,4,0,8,0.8,2.3,0.333,0.5,1,0.5,0.3,1.3,0.2,0.444,0.3,0.5,0.5,0,1,1,0.8,0.3,0,0.5,0.8,2.3
178,Tim Hardaway,SG,26,NYK,30,30,33.5,6.8,17.3,0.395,2.9,8,0.358,4,9.3,0.427,0.478,4.5,5.3,0.854,0.5,2.6,3.1,2.9,1,0.2,2,2.5,21
179,James Harden,SG,29,HOU,25,25,36.1,9.2,20.4,0.454,4.1,11,0.372,5.2,9.4,0.549,0.554,8.3,9.9,0.839,0.6,5.2,5.8,8.3,2,0.5,5.6,3.4,30.9
180,Maurice Harkless,SF,25,POR,16,9,19.1,1.9,4.5,0.431,0.6,1.8,0.31,1.4,2.7,0.512,0.493,0.2,0.3,0.75,0.6,2.9,3.5,0.8,0.7,0.9,0.6,2.4,4.6
181,Montrezl Harrell,C,25,LAC,29,0,25.3,5.8,9.2,0.632,0,0.1,0.5,5.8,9.1,0.633,0.633,3.5,5.9,0.6,2.3,4.3,6.7,1.6,0.9,1.6,1.4,2.8,15.1
182,Devin Harris,PG,35,DAL,18,0,15.6,1.9,4.9,0.382,0.9,3.1,0.291,1,1.9,0.529,0.472,1.8,2.3,0.78,0.1,1.7,1.8,1.5,1,0.3,0.8,1.5,6.4
183,Gary Harris,SG,24,DEN,21,21,32.3,6.2,14.1,0.438,1.7,5.3,0.324,4.5,8.9,0.505,0.498,2.5,3.2,0.791,0.7,2.5,3.2,2.9,1.2,0.4,1.2,2.2,16.6
184,Joe Harris,SG,27,BRK,28,28,29.5,4.7,9.6,0.493,2.3,5.1,0.455,2.4,4.5,0.536,0.614,1.4,1.7,0.813,0.7,2.8,3.5,2.5,0.6,0.2,1.4,3,13.1
185,Tobias Harris,PF,26,LAC,29,29,34.7,8,15.8,0.504,1.9,4.8,0.399,6.1,11,0.55,0.564,3.1,3.5,0.873,0.7,7.4,8.1,2.2,0.6,0.4,2,2.1,20.9
186,Andrew Harrison,SG-PG,24,TOT,15,0,11.8,1.1,3.3,0.32,0.3,1.5,0.227,0.7,1.9,0.393,0.37,1.1,1.2,0.944,0.3,0.9,1.2,1.5,0.3,0.1,0.7,2.2,3.6
186,Andrew Harrison,PG,24,MEM,1,0,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,0,0,0,0,1,2
186,Andrew Harrison,SG,24,CLE,10,0,14.4,1.2,3.9,0.308,0.3,1.4,0.214,0.9,2.5,0.36,0.346,1.6,1.6,1,0.4,1.1,1.5,1.7,0.4,0.2,1,2.6,4.3
186,Andrew Harrison,SG,24,NOP,4,0,7,0.8,2.3,0.333,0.5,1.8,0.286,0.3,0.5,0.5,0.444,0.3,0.5,0.5,0.3,0.5,0.8,1.5,0,0,0,1.5,2.3
187,Shaquille Harrison,PG,25,CHI,21,0,16,2,5,0.404,0.3,1.4,0.241,1.7,3.6,0.467,0.438,1.2,1.9,0.625,0.3,2.3,2.6,1.7,1.5,0.3,0.8,1.3,5.5
188,Josh Hart,SG,23,LAL,30,9,25.2,3.2,7.3,0.441,1.7,4.5,0.378,1.5,2.8,0.541,0.557,0.9,1.3,0.65,0.5,2.7,3.2,1.1,1,0.7,0.8,2.4,9
189,Isaiah Hartenstein,PF,20,HOU,21,0,8.2,0.8,1.6,0.485,0.1,0.2,0.4,0.7,1.3,0.5,0.515,0.5,0.7,0.786,0.8,0.8,1.6,0.5,0.2,0.4,0.6,2,2.1
190,Udonis Haslem,C,38,MIA,3,0,4.7,0.7,2,0.333,0,0.7,0,0.7,1.3,0.5,0.333,0,0,,0.3,1.3,1.7,0,0,0,0.7,1,1.3
191,Gordon Hayward,SF,28,BOS,25,15,26.4,3.8,9.2,0.416,1.3,3.8,0.34,2.6,5.5,0.467,0.485,2,2.2,0.891,1,4.2,5.2,3.6,1.1,0.2,1.4,1.4,10.9
192,John Henson,C,28,MIL,14,0,13.4,2.2,4.8,0.463,0.8,2.2,0.355,1.4,2.6,0.556,0.545,0.4,0.7,0.6,1.1,3.9,5.1,1,0.5,0.8,0.9,1.1,5.6
193,Juan Hernangomez,PF,23,DEN,28,17,27.5,3.3,6.9,0.482,1.6,3.9,0.422,1.7,3,0.56,0.601,1.5,1.9,0.796,1.6,4,5.6,1,0.5,0.5,0.8,1.9,9.8
194,Willy Hernangomez,C,24,CHO,21,1,12.7,2.6,4.7,0.551,0.6,1,0.571,2,3.7,0.545,0.612,1.6,2.1,0.756,1.7,2.8,4.5,0.8,0.4,0.4,0.9,1.8,7.3
195,Mario Hezonja,SF,23,NYK,29,11,18.1,2.8,7.4,0.375,0.8,2.7,0.291,2,4.7,0.423,0.428,0.7,1.1,0.636,0.3,2.9,3.2,1,0.7,0.1,1.2,1.7,7.1
196,Buddy Hield,SG,25,SAC,29,29,31.1,7.4,15.4,0.48,2.8,6.7,0.425,4.6,8.8,0.522,0.571,1.6,1.9,0.836,1.1,4,5.1,2.5,0.4,0.4,2.1,2.4,19.2
197,Nene Hilario,C,36,HOU,7,0,14.4,2.3,4.1,0.552,0,0.3,0,2.3,3.9,0.593,0.552,0.7,0.7,1,1,2.3,3.3,0.9,0.3,0.4,0.3,3,5.3
198,George Hill,PG,32,TOT,16,13,25.2,3.7,7.5,0.492,0.8,2.1,0.382,2.9,5.4,0.535,0.546,1.1,1.3,0.81,0.9,1.3,2.2,2.5,0.9,0.1,1.3,2.4,9.3
198,George Hill,PG,32,CLE,13,13,26.5,4.2,8.2,0.514,1,2.2,0.464,3.2,6.1,0.532,0.575,1.3,1.5,0.85,0.9,1.2,2.1,2.8,0.9,0.1,1.5,2.7,10.8
198,George Hill,PG,32,MIL,3,0,19.7,1.3,4.3,0.308,0,2,0,1.3,2.3,0.571,0.308,0,0.3,0,0.7,2,2.7,1.3,1,0.3,0.3,1.3,2.7
